issue,year,n,prop,prop_lib,prop_cons
abpoor,1976,1434,0.5306834030683403,0.625974025974026,0.49278846153846156
abrape,1976,1440,0.8368055555555556,0.8467336683417085,0.8459715639810427
absingle,1976,1438,0.5027816411682893,0.6,0.463768115942029
busing,1976,1459,0.16175462645647704,0.2531969309462916,0.10697674418604651
cappun,1976,1426,0.3127629733520337,0.43410852713178294,0.21153846153846154
colath,1976,1466,0.422237380627558,0.606516290726817,0.38588235294117645
colcom,1976,1423,0.43569922698524244,0.5917312661498708,0.37349397590361444
colhomo,1976,1448,0.5386740331491713,0.7236180904522613,0.5047169811320755
colmil,1976,1439,0.3842946490618485,0.5419847328244275,0.34532374100719426
colrac,1976,1442,0.420249653259362,0.5406091370558376,0.4
grass,1976,1447,0.2874913614374568,0.4884910485933504,0.19626168224299065
gunlaw,1976,1472,0.7255434782608695,0.7715736040609137,0.7013888888888888
hitbeatr,1976,1434,0.17852161785216178,0.15503875968992248,0.1678832116788321
hitchild,1976,1439,0.4996525364836692,0.5392670157068062,0.49176470588235294
hitdrunk,1976,1454,0.9099037138927097,0.9287531806615776,0.908235294117647
hitmarch,1976,1467,0.9686434901158828,0.9722222222222222,0.9653579676674365
hitok,1976,1424,0.3082865168539326,0.27906976744186046,0.30071599045346065
hitrobbr,1976,1469,0.15997277059223963,0.16666666666666666,0.1531322505800464
homosex,1976,1426,0.23772791023842918,0.4263565891472868,0.16666666666666666
libath,1976,1461,0.6105407255304586,0.7405541561712846,0.6197183098591549
libcom,1976,1439,0.5823488533703961,0.7295918367346939,0.5748218527315915
libhomo,1976,1444,0.574792243767313,0.7236180904522613,0.566350710900474
libmil,1976,1441,0.5815405968077724,0.7219387755102041,0.568019093078759
librac,1976,1437,0.6207376478775226,0.7164556962025317,0.6445497630331753
polabuse,1976,1453,0.7969717825189263,0.8604060913705583,0.7717647058823529
polattak,1976,1485,0.05185185185185185,0.055415617128463476,0.053117782909930716
polescap,1976,1434,0.1903765690376569,0.20308483290488433,0.15311004784688995
polhitok,1976,1438,0.2086230876216968,0.19796954314720813,0.16786570743405277
polmurdr,1976,1465,0.922184300341297,0.9118387909319899,0.9372093023255814
pornlaw,1976,1465,0.08259385665529011,0.13533834586466165,0.08158508158508158
racseg,1976,1337,0.6073298429319371,0.729106628242075,0.5635491606714629
spkath,1976,1483,0.6466621712744437,0.765,0.6635730858468677
spkcom,1976,1464,0.5580601092896175,0.7117794486215538,0.5164319248826291
spkhomo,1976,1449,0.639751552795031,0.775,0.6235294117647059
spkmil,1976,1469,0.5534377127297482,0.6859296482412061,0.5328638497652582
spkrac,1976,1467,0.6196319018404908,0.7117794486215538,0.62877030162413
xmarsex,1976,1475,0.15728813559322033,0.24561403508771928,0.09976798143851508
abany,1977,1479,0.3772819472616633,0.44878048780487806,0.33185840707964603
abdefect,1977,1487,0.8547410894418291,0.87409200968523,0.8456521739130435
abhlth,1977,1488,0.905241935483871,0.9388753056234719,0.8908296943231441
abnomore,1977,1462,0.46511627906976744,0.5333333333333333,0.42342342342342343
abpoor,1977,1478,0.5338294993234101,0.6063569682151589,0.5145413870246085
abrape,1977,1469,0.8379850238257318,0.8651960784313726,0.8307349665924276
absingle,1977,1459,0.4976010966415353,0.5792079207920792,0.4711111111111111
busing,1977,1482,0.16734143049932523,0.22469135802469137,0.13203463203463203
cappun,1977,1423,0.2817990161630358,0.3974358974358974,0.22675736961451248
colath,1977,1497,0.3954575818303273,0.5414634146341464,0.30669546436285094
colcom,1977,1460,0.4047945205479452,0.5432098765432098,0.32450331125827814
colhomo,1977,1462,0.5143638850889193,0.6479217603911981,0.42663656884875845
colmil,1977,1487,0.34902488231338263,0.47115384615384615,0.28322440087145967
colrac,1977,1487,0.4189643577673167,0.5207823960880196,0.38611713665943603
fefam,1977,1503,0.3419827012641384,0.4580335731414868,0.26304347826086955
fehelp,1977,1472,0.42866847826086957,0.5523114355231143,0.34375
fehome,1977,1490,0.6181208053691275,0.7101449275362319,0.5764192139737991
fework,1977,1506,0.6633466135458167,0.7200956937799043,0.6427015250544662
gunlaw,1977,1499,0.7298198799199467,0.7860576923076923,0.6746724890829694
homosex,1977,1453,0.2236751548520303,0.3768844221105528,0.14380530973451328
letdie1,1977,1453,0.6242257398485891,0.6577017114914425,0.5882352941176471
libath,1977,1498,0.5967957276368492,0.7160194174757282,0.5574837310195228
libcom,1977,1484,0.5673854447439353,0.6811594202898551,0.5538461538461539
libhomo,1977,1475,0.5722033898305084,0.6674816625916871,0.5254988913525499
libmil,1977,1485,0.560942760942761,0.6506024096385542,0.5292841648590022
librac,1977,1483,0.6271072151045178,0.7170731707317073,0.6078431372549019
premarsx,1977,1481,0.5948683322079676,0.7390243902439024,0.4826086956521739
racchng,1977,1250,0.4216,0.5502958579881657,0.35384615384615387
racfew,1977,1345,0.9271375464684015,0.9301675977653632,0.9316037735849056
rachaf,1977,1222,0.8101472995090017,0.8753799392097265,0.7740259740259741
racmost,1977,970,0.5329896907216495,0.5373665480427047,0.5206896551724138
racseg,1977,1309,0.5760122230710466,0.655367231638418,0.5425790754257908
sexeduc,1977,1492,0.7868632707774799,0.8616504854368932,0.7214912280701754
spkath,1977,1518,0.6271409749670619,0.7146282973621103,0.5836909871244635
spkcom,1977,1494,0.5662650602409639,0.672289156626506,0.5446623093681917
spkhomo,1977,1472,0.6413043478260869,0.7212713936430318,0.6
spkmil,1977,1501,0.5143237841439041,0.5980861244019139,0.4935064935064935
spkrac,1977,1498,0.5961281708945261,0.6618357487922706,0.5874730021598272
suicide1,1977,1475,0.391864406779661,0.46568627450980393,0.3436123348017621
suicide2,1977,1506,0.06905710491367861,0.09903381642512077,0.060085836909871244
suicide3,1977,1505,0.07574750830564785,0.11566265060240964,0.06666666666666667
suicide4,1977,1496,0.13502673796791445,0.18932038834951456,0.12391304347826088
wirtap,1977,1480,0.8094594594594594,0.8557692307692307,0.7522123893805309
xmarsex,1977,1510,0.13311258278145696,0.22760290556900725,0.10944206008583691
abany,1978,1484,0.3328840970350404,0.44221105527638194,0.3080260303687636
abdefect,1978,1497,0.8196392785571143,0.85785536159601,0.8081896551724138
abhlth,1978,1492,0.9061662198391421,0.925,0.9096774193548387
abnomore,1978,1483,0.40323668240053945,0.51,0.36774193548387096
abpoor,1978,1469,0.47379169503063306,0.5818639798488665,0.44155844155844154
abrape,1978,1481,0.8318703578663066,0.8632911392405064,0.8408602150537634
absingle,1978,1473,0.41140529531568226,0.49373433583959897,0.39956331877729256
busing,1978,1459,0.20973269362577107,0.2849740932642487,0.13478260869565217
cappun,1978,1443,0.2959112959112959,0.43116883116883115,0.2178649237472767
fehome,1978,1482,0.6808367071524967,0.7721518987341772,0.67170626349892
fework,1978,1509,0.7335984095427436,0.8208955223880597,0.7303609341825902
grass,1978,1464,0.305327868852459,0.4948717948717949,0.18494623655913978
hitbeatr,1978,1470,0.16802721088435374,0.16331658291457288,0.16993464052287582
hitchild,1978,1482,0.5364372469635628,0.5452261306532663,0.5138592750533049
hitdrunk,1978,1487,0.9098856758574311,0.9097744360902256,0.8910256410256411
hitmarch,1978,1494,0.9672021419009371,0.972636815920398,0.9529914529914529
hitok,1978,1453,0.3392980041293875,0.30710659898477155,0.33260869565217394
hitrobbr,1978,1498,0.1568758344459279,0.15829145728643215,0.15286624203821655
letdie1,1978,1471,0.600951733514616,0.6632653061224489,0.5641025641025641
polabuse,1978,1499,0.8172114743162108,0.8383084577114428,0.7936170212765957
polattak,1978,1515,0.06336633663366337,0.0594059405940594,0.05042016806722689
polescap,1978,1476,0.22493224932249323,0.21882951653944022,0.21982758620689655
polhitok,1978,1475,0.2088135593220339,0.19444444444444445,0.1841541755888651
polmurdr,1978,1480,0.9168918918918919,0.9197994987468672,0.9181034482758621
pornlaw,1978,1515,0.07326732673267326,0.07960199004975124,0.06903765690376569
